Date,Days on Market (DOM),Property_Type,Price,Address,Zip_Code
2022-02-24T02:50:55.262Z,288,Apartment,5900,"399 Congress St, Apt 1817, Boston, MA 02210",02210
2021-10-27T02:45:22.720Z,408,Apartment,3293,"501 Congress St, Apt 2008, Boston, MA 02210",02210
2021-11-08T02:40:36.050Z,396,Apartment,4008,"26 W Broadway, Unit 205, Boston, MA 02127",02127
2021-10-27T02:32:38.531Z,408,Apartment,3323,"4 Lucy St, Apt 412, Boston, MA 02125",02125
2021-10-27T02:49:53.008Z,408,Apartment,3705,"501 Congress St, Apt 614, Boston, MA 02210",02210
2021-10-27T02:49:53.012Z,408,Apartment,3735,"501 Congress St, Apt 1218, Boston, MA 02210",02210
2022-12-04T09:09:06.000Z,4,Apartment,3524,"5 Fan Pier Blvd, Unit 1316, Boston, MA 02210",02210
2022-12-04T09:09:06.000Z,4,Apartment,4264,"5 Fan Pier Blvd, Unit 1808, Boston, MA 02210",02210
2022-03-25T03:03:39.338Z,259,Apartment,4142,"4 Lucy St, Apt 418, Boston, MA 02125",02125
2022-11-24T19:50:56.000Z,14,Apartment,3400,"5 Fan Pier Blvd, Unit 825, Boston, MA 02210",02210
2022-12-08T03:40:14.206Z,0,Apartment,3750,"14 Clearway St, Apt 7M, Boston, MA 02115",02115
2022-12-08T03:40:14.206Z,0,Apartment,3235,"201 S Huntington Ave, # 201-607, Boston, MA 02130",02130
2022-12-05T03:33:02.100Z,4,Apartment,5100,"1109 Boylston St, Apt 12M, Boston, MA 02215",02215
2022-12-01T09:03:13.000Z,7,Apartment,3918,"5 Fan Pier Blvd, Unit 1820, Boston, MA 02210",02210
2022-08-05T08:49:05.416Z,125,Apartment,3139,"4 Lucy St, Apt 636, Boston, MA 02125",02125
2022-09-21T03:14:37.931Z,79,Apartment,3540,"110 Beverly St, Apt 315, Boston, MA 02114",02114
2022-10-29T03:21:43.272Z,41,Apartment,4145,"110 Beverly St, Apt 515, Boston, MA 02114",02114
2021-06-18T02:43:19.472Z,539,Apartment,1950,"311 Huntington Ave, Boston, MA 02115",02115
2022-04-04T02:46:20.208Z,249,Apartment,4815,"120 Kingston St, Unit 2110, Boston, MA 02111",02111
2022-06-05T02:49:37.149Z,187,Apartment,4023,"120 Kingston St, Unit 1307, Boston, MA 02111",02111
2022-11-09T09:02:32.000Z,29,Apartment,2970,"1410 Columbia Rd, Apt 16J, Boston, MA 02127",02127
2022-11-30T03:40:42.688Z,8,Apartment,5359,"120 Kingston St, Ph 2507, Boston, MA 02111",02111
2020-08-18T06:38:42.290Z,842,Apartment,1150,"376 Washington St, Boston, MA 02124",02124
2022-11-18T03:29:54.169Z,21,Apartment,2747,"126 Border St, Unit 440, Boston, MA 02128",02128
2022-11-29T03:37:56.287Z,10,Apartment,4300,"520 Harrison Ave, Apt 202F, Boston, MA 02118",02118
2020-11-18T02:25:15.801Z,751,Apartment,3114,"3611 Washington St, Boston, MA 02130",02130
2022-10-06T03:24:01.787Z,64,Apartment,3927,"660 Washington St, Apt 05E, Boston, MA 02111",02111
2022-10-08T03:14:39.533Z,62,Apartment,2900,"117 Park Dr, Apt 14B, Boston, MA 02215",02215
2022-08-13T03:00:21.482Z,118,Apartment,3550,"1410 Columbia Rd, Apt 17G, Boston, MA 02127",02127
2022-11-11T22:02:10.000Z,27,Apartment,5333,"100 Pier 4 Blvd, Unit 704, Boston, MA 02210",02210
2022-07-11T02:09:46.075Z,151,Apartment,3659,"1330 Boylston St, Unit 415, Boston, MA 02215",02215
2022-05-27T03:11:25.600Z,196,Apartment,2745,"161 S Huntington Ave, Apt 327, Boston, MA 02130",02130
2022-12-03T03:28:57.495Z,6,Apartment,4900,"42 Brainerd Rd, Apt 2F, Boston, MA 02134",02134
2022-11-09T21:59:43.000Z,29,Apartment,3900,"28 Exeter St, Apt 809, Boston, MA 02116",02116
2022-07-22T03:10:45.606Z,140,Condo,4660,"100 Arlington St, Unit 3E, Boston, MA 02116",02116
2022-10-05T03:32:03.374Z,65,Apartment,3760,"110 Beverly St, Apt 523, Boston, MA 02114",02114
2022-10-28T03:26:32.532Z,42,Apartment,3678,"1330 Boylston St, Unit 605, Boston, MA 02215",02215
2022-06-09T02:59:20.279Z,183,Apartment,4545,"126 Border St, Unit 531, Boston, MA 02128",02128
2022-08-19T03:14:13.155Z,112,Condo,6950,"100 Arlington St, Unit 4A, Boston, MA 02116",02116
2022-11-24T19:50:56.000Z,14,Apartment,3100,"315 A St, Unit 1902, Boston, MA 02210",02210
2021-09-16T23:39:33.000Z,448,Apartment,4300,"1350 Boylston St, Boston, MA 02215",02215
2022-11-30T09:03:25.000Z,8,Apartment,9180,"100 Arlington St, Unit 15A, Boston, MA 02116",02116
2022-02-15T03:13:08.620Z,297,Apartment,5200,"100 Arlington St, Unit 06L, Boston, MA 02116",02116
2022-08-29T02:53:49.682Z,102,Condo,3890,"660 Washington St, Apt 28M, Boston, MA 02111",02111
2022-09-18T22:00:21.000Z,81,Apartment,3370,"75 Saint Alphonsus St, Apt 2006, Boston, MA 02120",02120
2022-10-27T23:18:32.000Z,42,Apartment,2500,"10 Crowell St, Apt 1, Boston, MA 02124",02124
2022-12-01T03:34:50.572Z,8,Apartment,5600,"28 Glenville Ave, Apt 2M, Boston, MA 02134",02134
2022-10-26T03:31:23.733Z,44,Apartment,2700,"1410 Columbia Rd, Apt 16A, Boston, MA 02127",02127
2022-03-20T02:37:46.027Z,264,Apartment,2866,"10 Camelot Ct, # 114, Boston, MA 02135",02135
2020-08-21T17:49:21.487Z,839,Single Family,6300,"416 Marlborough St, Boston, MA 02115",02115
2021-12-28T02:34:09.574Z,346,Apartment,5085,"161 S Huntington Ave, Apt 211, Boston, MA 02130",02130
2022-07-25T02:38:00.786Z,137,Apartment,4323,"10 New St, Apt 401, Boston, MA 02128",02128
2022-12-08T03:39:31.764Z,1,Apartment,3100,"145 Endicott St, Apt 1E, Boston, MA 02113",02113
2022-10-30T03:32:43.874Z,40,Apartment,2900,"387 Commonwealth Ave, Apt B1, Boston, MA 02115",02115
2022-11-30T03:40:42.676Z,8,Apartment,3365,"10 New St, Apt 1403, Boston, MA 02128",02128
2021-06-17T03:10:27.458Z,540,Apartment,3495,"224 Hanover St, Boston, MA 02113",02113
2022-02-24T03:20:58.252Z,288,Apartment,6300,"416 Marlborough St, Apt 903E, Boston, MA 02115",02115
2022-11-09T16:40:35.000Z,29,Apartment,2350,"452 Ashmont St, Apt 1, Boston, MA 02122",02122
2021-10-28T02:06:22.070Z,407,Apartment,2872,"10 Camelot Ct, # 105, Boston, MA 02135",02135
2022-10-11T22:42:28.000Z,58,Apartment,3318,"75 Saint Alphonsus St, Apt 803, Boston, MA 02120",02120
2022-12-07T03:28:42.609Z,2,Apartment,6000,"1566 Tremont St, Apt 1M, Boston, MA 02120",02120
2022-10-22T08:57:50.000Z,47,Apartment,3968,"200 Brookline Ave, Unit 1416, Boston, MA 02215",02215
2022-07-03T03:02:20.104Z,159,Apartment,4820,"1335 Boylston St, Apt 712, Boston, MA 02215",02215
2022-12-07T03:28:42.598Z,2,Condo,2600,"1193 Commonwealth Ave, Apt 11M, Boston, MA 02134",02134
2022-10-26T09:03:28.000Z,43,Apartment,3935,"505 Congress St, Unit 1711, Boston, MA 02210",02210
